,wave,gender,age,race,importance_same_race,importance_same_religion,field,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,sports,museums,tvsports,exercise,dining,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,shopping,music,yoga,expected_happy_with_sd_people,expected_num_matches,id_
1260,4.0,female,23.0,Asian/Pacific Islander/Asian-American,4.0,1.0,Chemistry,15.0,21.0,18.0,18.0,10.0,18.0,5.0,8.0,5.0,7.0,5.0,8.0,8.0,9.0,6.0,5.0,9.0,6.0,3.0,1.0,10.0,6.0,7.0,8.0,7.0,4.0,6.0,1.0,5.0,2.0,"4.0, female, 23.0, Asian/Pacific Islander/Asian-American, 4.0, 1.0, Chemistry, 15.0, 21.0, 18.0, 18.0, 10.0, 18.0, 5.0, 8.0, 5.0, 7.0, 5.0, 8.0, 8.0, 9.0, 6.0, 5.0, 9.0, 6.0, 3.0, 1.0, 10.0, 6.0, 7.0, 8.0, 7.0, 4.0, 6.0, 1.0, 5.0, 2.0"
1278,4.0,female,25.0,Other,6.0,8.0,Law,15.0,3.0,50.0,20.0,2.0,10.0,6.0,7.0,7.0,9.0,8.0,4.0,7.0,2.0,5.0,7.0,5.0,7.0,3.0,5.0,7.0,7.0,10.0,8.0,8.0,6.0,7.0,2.0,5.0,-1.0,"4.0, female, 25.0, Other, 6.0, 8.0, Law, 15.0, 3.0, 50.0, 20.0, 2.0, 10.0, 6.0, 7.0, 7.0, 9.0, 8.0, 4.0, 7.0, 2.0, 5.0, 7.0, 5.0, 7.0, 3.0, 5.0, 7.0, 7.0, 10.0, 8.0, 8.0, 6.0, 7.0, 2.0, 5.0, -1.0"
1296,4.0,female,29.0,European/Caucasian-American,1.0,2.0,International Educational Development,10.0,20.0,20.0,20.0,20.0,10.0,9.0,10.0,9.0,9.0,9.0,7.0,9.0,2.0,8.0,10.0,9.0,9.0,2.0,9.0,10.0,4.0,10.0,10.0,8.0,6.0,10.0,9.0,5.0,3.0,"4.0, female, 29.0, European/Caucasian-American, 1.0, 2.0, International Educational Development, 10.0, 20.0, 20.0, 20.0, 20.0, 10.0, 9.0, 10.0, 9.0, 9.0, 9.0, 7.0, 9.0, 2.0, 8.0, 10.0, 9.0, 9.0, 2.0, 9.0, 10.0, 4.0, 10.0, 10.0, 8.0, 6.0, 10.0, 9.0, 5.0, 3.0"
1314,4.0,female,29.0,European/Caucasian-American,2.0,2.0,Education Administration,14.0,20.0,18.0,24.0,18.0,6.0,8.0,8.0,8.0,8.0,7.0,3.0,7.0,2.0,6.0,10.0,6.0,8.0,7.0,8.0,7.0,5.0,8.0,8.0,6.0,7.0,5.0,6.0,6.0,-1.0,"4.0, female, 29.0, European/Caucasian-American, 2.0, 2.0, Education Administration, 14.0, 20.0, 18.0, 24.0, 18.0, 6.0, 8.0, 8.0, 8.0, 8.0, 7.0, 3.0, 7.0, 2.0, 6.0, 10.0, 6.0, 8.0, 7.0, 8.0, 7.0, 5.0, 8.0, 8.0, 6.0, 7.0, 5.0, 6.0, 6.0, -1.0"
1332,4.0,male,28.0,Asian/Pacific Islander/Asian-American,6.0,8.0,Business [MBA],20.0,20.0,20.0,10.0,10.0,20.0,6.0,9.0,9.0,9.0,7.0,7.0,5.0,2.0,8.0,8.0,4.0,4.0,3.0,3.0,9.0,5.0,7.0,9.0,6.0,4.0,7.0,5.0,5.0,4.0,"4.0, male, 28.0, Asian/Pacific Islander/Asian-American, 6.0, 8.0, Business [MBA], 20.0, 20.0, 20.0, 10.0, 10.0, 20.0, 6.0, 9.0, 9.0, 9.0, 7.0, 7.0, 5.0, 2.0, 8.0, 8.0, 4.0, 4.0, 3.0, 3.0, 9.0, 5.0, 7.0, 9.0, 6.0, 4.0, 7.0, 5.0, 5.0, 4.0"
1350,4.0,male,26.0,European/Caucasian-American,7.0,5.0,Business,18.0,18.0,18.0,19.0,13.0,14.0,7.0,9.0,8.0,10.0,7.0,10.0,4.0,10.0,6.0,6.0,3.0,1.0,6.0,4.0,7.0,9.0,5.0,10.0,8.0,3.0,10.0,3.0,6.0,2.0,"4.0, male, 26.0, European/Caucasian-American, 7.0, 5.0, Business, 18.0, 18.0, 18.0, 19.0, 13.0, 14.0, 7.0, 9.0, 8.0, 10.0, 7.0, 10.0, 4.0, 10.0, 6.0, 6.0, 3.0, 1.0, 6.0, 4.0, 7.0, 9.0, 5.0, 10.0, 8.0, 3.0, 10.0, 3.0, 6.0, 2.0"
1368,4.0,male,26.0,Latino/Hispanic American,3.0,6.0,Computer Science,10.0,20.0,20.0,22.0,6.0,22.0,7.0,9.0,9.0,9.0,9.0,5.0,10.0,8.0,7.0,10.0,8.0,10.0,6.0,8.0,8.0,3.0,8.0,9.0,8.0,7.0,7.0,3.0,7.0,4.0,"4.0, male, 26.0, Latino/Hispanic American, 3.0, 6.0, Computer Science, 10.0, 20.0, 20.0, 22.0, 6.0, 22.0, 7.0, 9.0, 9.0, 9.0, 9.0, 5.0, 10.0, 8.0, 7.0, 10.0, 8.0, 10.0, 6.0, 8.0, 8.0, 3.0, 8.0, 9.0, 8.0, 7.0, 7.0, 3.0, 7.0, 4.0"
1386,4.0,male,29.0,European/Caucasian-American,4.0,1.0,Climate-Earth and Environ. Science,50.0,7.0,20.0,23.0,0.0,0.0,7.0,5.0,7.0,6.0,6.0,6.0,3.0,8.0,8.0,3.0,3.0,6.0,1.0,5.0,8.0,3.0,2.0,7.0,3.0,3.0,7.0,5.0,5.0,-1.0,"4.0, male, 29.0, European/Caucasian-American, 4.0, 1.0, Climate-Earth and Environ. Science, 50.0, 7.0, 20.0, 23.0, 0.0, 0.0, 7.0, 5.0, 7.0, 6.0, 6.0, 6.0, 3.0, 8.0, 8.0, 3.0, 3.0, 6.0, 1.0, 5.0, 8.0, 3.0, 2.0, 7.0, 3.0, 3.0, 7.0, 5.0, 5.0, -1.0"
1404,4.0,male,39.0,European/Caucasian-American,1.0,1.0,Social Work,40.0,20.0,15.0,20.0,0.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,3.0,8.0,8.0,7.0,3.0,5.0,1.0,7.0,7.0,3.0,7.0,8.0,6.0,2.0,8.0,7.0,5.0,5.0,"4.0, male, 39.0, European/Caucasian-American, 1.0, 1.0, Social Work, 40.0, 20.0, 15.0, 20.0, 0.0, 5.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 3.0, 8.0, 8.0, 7.0, 3.0, 5.0, 1.0, 7.0, 7.0, 3.0, 7.0, 8.0, 6.0, 2.0, 8.0, 7.0, 5.0, 5.0"
1422,4.0,male,28.0,European/Caucasian-American,1.0,1.0,Law,30.0,30.0,20.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,8.0,5.0,10.0,5.0,5.0,8.0,10.0,5.0,5.0,9.0,6.0,6.0,10.0,10.0,10.0,8.0,10.0,5.0,8.0,10.0,"4.0, male, 28.0, European/Caucasian-American, 1.0, 1.0, Law, 30.0, 30.0, 20.0, 10.0, 10.0, 0.0, 10.0, 10.0, 10.0, 10.0, 8.0, 5.0, 10.0, 5.0, 5.0, 8.0, 10.0, 5.0, 5.0, 9.0, 6.0, 6.0, 10.0, 10.0, 10.0, 8.0, 10.0, 5.0, 8.0, 10.0"
1440,4.0,male,30.0,Other,8.0,9.0,Business,20.0,25.0,25.0,15.0,5.0,10.0,7.0,8.0,8.0,9.0,6.0,5.0,6.0,4.0,6.0,7.0,6.0,2.0,2.0,4.0,6.0,5.0,7.0,7.0,3.0,6.0,7.0,2.0,5.0,4.0,"4.0, male, 30.0, Other, 8.0, 9.0, Business, 20.0, 25.0, 25.0, 15.0, 5.0, 10.0, 7.0, 8.0, 8.0, 9.0, 6.0, 5.0, 6.0, 4.0, 6.0, 7.0, 6.0, 2.0, 2.0, 4.0, 6.0, 5.0, 7.0, 7.0, 3.0, 6.0, 7.0, 2.0, 5.0, 4.0"
1458,4.0,male,22.0,Asian/Pacific Islander/Asian-American,3.0,2.0,financial math,40.0,8.0,10.0,12.0,10.0,20.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,7.0,9.0,9.0,8.0,8.0,9.0,8.0,7.0,9.0,8.0,7.0,8.0,8.0,4.0,7.0,5.0,"4.0, male, 22.0, Asian/Pacific Islander/Asian-American, 3.0, 2.0, financial math, 40.0, 8.0, 10.0, 12.0, 10.0, 20.0, 8.0, 8.0, 8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 7.0, 9.0, 9.0, 8.0, 8.0, 9.0, 8.0, 7.0, 9.0, 8.0, 7.0, 8.0, 8.0, 4.0, 7.0, 5.0"
1476,4.0,male,32.0,European/Caucasian-American,2.0,6.0,Chemistry,30.0,10.0,30.0,20.0,10.0,0.0,8.0,5.0,7.0,10.0,9.0,9.0,4.0,9.0,9.0,9.0,4.0,7.0,2.0,5.0,5.0,4.0,4.0,9.0,3.0,5.0,5.0,2.0,6.0,8.0,"4.0, male, 32.0, European/Caucasian-American, 2.0, 6.0, Chemistry, 30.0, 10.0, 30.0, 20.0, 10.0, 0.0, 8.0, 5.0, 7.0, 10.0, 9.0, 9.0, 4.0, 9.0, 9.0, 9.0, 4.0, 7.0, 2.0, 5.0, 5.0, 4.0, 4.0, 9.0, 3.0, 5.0, 5.0, 2.0, 6.0, 8.0"
1494,4.0,male,26.0,European/Caucasian-American,8.0,9.0,Business- MBA,40.0,5.0,20.0,10.0,10.0,15.0,8.0,8.0,8.0,9.0,9.0,8.0,6.0,7.0,8.0,8.0,4.0,8.0,5.0,8.0,8.0,8.0,5.0,8.0,8.0,6.0,8.0,3.0,6.0,3.0,"4.0, male, 26.0, European/Caucasian-American, 8.0, 9.0, Business- MBA, 40.0, 5.0, 20.0, 10.0, 10.0, 15.0, 8.0, 8.0, 8.0, 9.0, 9.0, 8.0, 6.0, 7.0, 8.0, 8.0, 4.0, 8.0, 5.0, 8.0, 8.0, 8.0, 5.0, 8.0, 8.0, 6.0, 8.0, 3.0, 6.0, 3.0"
1512,4.0,male,27.0,European/Caucasian-American,6.0,8.0,chemistry,20.0,15.0,25.0,15.0,20.0,5.0,9.0,8.0,7.0,9.0,9.0,8.0,8.0,3.0,8.0,9.0,8.0,9.0,5.0,8.0,7.0,3.0,8.0,7.0,6.0,3.0,8.0,7.0,8.0,3.0,"4.0, male, 27.0, European/Caucasian-American, 6.0, 8.0, chemistry, 20.0, 15.0, 25.0, 15.0, 20.0, 5.0, 9.0, 8.0, 7.0, 9.0, 9.0, 8.0, 8.0, 3.0, 8.0, 9.0, 8.0, 9.0, 5.0, 8.0, 7.0, 3.0, 8.0, 7.0, 6.0, 3.0, 8.0, 7.0, 8.0, 3.0"
1530,4.0,male,25.0,Black/African American,1.0,1.0,law,30.0,15.0,20.0,20.0,0.0,5.0,8.0,7.0,9.0,8.0,6.0,9.0,5.0,9.0,6.0,8.0,5.0,3.0,4.0,7.0,8.0,6.0,6.0,7.0,4.0,5.0,7.0,5.0,5.0,-1.0,"4.0, male, 25.0, Black/African American, 1.0, 1.0, law, 30.0, 15.0, 20.0, 20.0, 0.0, 5.0, 8.0, 7.0, 9.0, 8.0, 6.0, 9.0, 5.0, 9.0, 6.0, 8.0, 5.0, 3.0, 4.0, 7.0, 8.0, 6.0, 6.0, 7.0, 4.0, 5.0, 7.0, 5.0, 5.0, -1.0"
1548,4.0,male,22.0,Latino/Hispanic American,1.0,3.0,Law,10.0,20.0,35.0,10.0,5.0,20.0,4.0,7.0,3.0,9.0,2.0,2.0,6.0,4.0,2.0,9.0,5.0,4.0,9.0,2.0,9.0,8.0,7.0,9.0,2.0,5.0,8.0,3.0,5.0,4.0,"4.0, male, 22.0, Latino/Hispanic American, 1.0, 3.0, Law, 10.0, 20.0, 35.0, 10.0, 5.0, 20.0, 4.0, 7.0, 3.0, 9.0, 2.0, 2.0, 6.0, 4.0, 2.0, 9.0, 5.0, 4.0, 9.0, 2.0, 9.0, 8.0, 7.0, 9.0, 2.0, 5.0, 8.0, 3.0, 5.0, 4.0"
1566,4.0,male,21.0,European/Caucasian-American,1.0,1.0,Religion,19.0,24.0,21.0,23.0,5.0,8.0,7.0,9.0,9.0,9.0,6.0,7.0,6.0,2.0,4.0,7.0,7.0,8.0,1.0,7.0,7.0,1.0,5.0,7.0,9.0,1.0,9.0,10.0,6.0,-1.0,"4.0, male, 21.0, European/Caucasian-American, 1.0, 1.0, Religion, 19.0, 24.0, 21.0, 23.0, 5.0, 8.0, 7.0, 9.0, 9.0, 9.0, 6.0, 7.0, 6.0, 2.0, 4.0, 7.0, 7.0, 8.0, 1.0, 7.0, 7.0, 1.0, 5.0, 7.0, 9.0, 1.0, 9.0, 10.0, 6.0, -1.0"
1584,4.0,male,24.0,European/Caucasian-American,1.0,1.0,Electrical Engineering,10.0,20.0,35.0,20.0,0.0,15.0,4.0,8.0,3.0,7.0,2.0,7.0,6.0,3.0,4.0,5.0,7.0,3.0,2.0,5.0,7.0,3.0,7.0,7.0,4.0,2.0,6.0,2.0,5.0,3.0,"4.0, male, 24.0, European/Caucasian-American, 1.0, 1.0, Electrical Engineering, 10.0, 20.0, 35.0, 20.0, 0.0, 15.0, 4.0, 8.0, 3.0, 7.0, 2.0, 7.0, 6.0, 3.0, 4.0, 5.0, 7.0, 3.0, 2.0, 5.0, 7.0, 3.0, 7.0, 7.0, 4.0, 2.0, 6.0, 2.0, 5.0, 3.0"
1602,4.0,male,25.0,Asian/Pacific Islander/Asian-American,1.0,1.0,Film,15.0,10.0,30.0,10.0,5.0,30.0,6.0,9.0,8.0,9.0,8.0,2.0,10.0,1.0,2.0,10.0,10.0,1.0,2.0,2.0,10.0,5.0,7.0,10.0,10.0,5.0,10.0,3.0,5.0,2.0,"4.0, male, 25.0, Asian/Pacific Islander/Asian-American, 1.0, 1.0, Film, 15.0, 10.0, 30.0, 10.0, 5.0, 30.0, 6.0, 9.0, 8.0, 9.0, 8.0, 2.0, 10.0, 1.0, 2.0, 10.0, 10.0, 1.0, 2.0, 2.0, 10.0, 5.0, 7.0, 10.0, 10.0, 5.0, 10.0, 3.0, 5.0, 2.0"
1620,4.0,male,28.0,European/Caucasian-American,4.0,6.0,Film,20.0,20.0,15.0,15.0,5.0,25.0,7.0,9.0,8.0,8.0,7.0,4.0,7.0,3.0,8.0,7.0,9.0,8.0,2.0,3.0,7.0,5.0,7.0,9.0,7.0,3.0,8.0,6.0,6.0,3.0,"4.0, male, 28.0, European/Caucasian-American, 4.0, 6.0, Film, 20.0, 20.0, 15.0, 15.0, 5.0, 25.0, 7.0, 9.0, 8.0, 8.0, 7.0, 4.0, 7.0, 3.0, 8.0, 7.0, 9.0, 8.0, 2.0, 3.0, 7.0, 5.0, 7.0, 9.0, 7.0, 3.0, 8.0, 6.0, 6.0, 3.0"
1638,4.0,male,27.0,Asian/Pacific Islander/Asian-American,7.0,1.0,Business,20.0,20.0,20.0,20.0,10.0,10.0,5.0,8.0,5.0,8.0,5.0,9.0,10.0,9.0,7.0,9.0,9.0,9.0,1.0,5.0,9.0,5.0,8.0,9.0,8.0,3.0,5.0,5.0,9.0,-1.0,"4.0, male, 27.0, Asian/Pacific Islander/Asian-American, 7.0, 1.0, Business, 20.0, 20.0, 20.0, 20.0, 10.0, 10.0, 5.0, 8.0, 5.0, 8.0, 5.0, 9.0, 10.0, 9.0, 7.0, 9.0, 9.0, 9.0, 1.0, 5.0, 9.0, 5.0, 8.0, 9.0, 8.0, 3.0, 5.0, 5.0, 9.0, -1.0"
1656,5.0,female,20.0,Other,1.0,1.0,Sociology,15.0,15.0,20.0,25.0,10.0,15.0,9.0,10.0,9.0,9.0,9.0,8.0,7.0,3.0,8.0,5.0,8.0,8.0,8.0,9.0,9.0,3.0,8.0,8.0,9.0,4.0,10.0,6.0,4.0,8.0,"5.0, female, 20.0, Other, 1.0, 1.0, Sociology, 15.0, 15.0, 20.0, 25.0, 10.0, 15.0, 9.0, 10.0, 9.0, 9.0, 9.0, 8.0, 7.0, 3.0, 8.0, 5.0, 8.0, 8.0, 8.0, 9.0, 9.0, 3.0, 8.0, 8.0, 9.0, 4.0, 10.0, 6.0, 4.0, 8.0"
1666,5.0,female,21.0,European/Caucasian-American,3.0,8.0,Economics,15.0,15.0,25.0,25.0,15.0,5.0,8.0,10.0,10.0,8.0,9.0,5.0,9.0,3.0,7.0,10.0,8.0,7.0,2.0,6.0,8.0,7.0,10.0,10.0,9.0,10.0,10.0,7.0,7.0,0.0,"5.0, female, 21.0, European/Caucasian-American, 3.0, 8.0, Economics, 15.0, 15.0, 25.0, 25.0, 15.0, 5.0, 8.0, 10.0, 10.0, 8.0, 9.0, 5.0, 9.0, 3.0, 7.0, 10.0, 8.0, 7.0, 2.0, 6.0, 8.0, 7.0, 10.0, 10.0, 9.0, 10.0, 10.0, 7.0, 7.0, 0.0"
1676,5.0,female,20.0,Black/African American,2.0,4.0,Economics; English,20.0,20.0,20.0,20.0,10.0,10.0,7.0,9.0,8.0,6.0,7.0,6.0,4.0,8.0,3.0,4.0,3.0,5.0,2.0,6.0,8.0,7.0,6.0,7.0,6.0,2.0,9.0,2.0,6.0,3.0,"5.0, female, 20.0, Black/African American, 2.0, 4.0, Economics; English, 20.0, 20.0, 20.0, 20.0, 10.0, 10.0, 7.0, 9.0, 8.0, 6.0, 7.0, 6.0, 4.0, 8.0, 3.0, 4.0, 3.0, 5.0, 2.0, 6.0, 8.0, 7.0, 6.0, 7.0, 6.0, 2.0, 9.0, 2.0, 6.0, 3.0"
1686,5.0,female,21.0,European/Caucasian-American,10.0,7.0,psychology,20.0,10.0,30.0,20.0,15.0,5.0,8.0,7.0,8.0,9.0,8.0,2.0,3.0,2.0,8.0,7.0,3.0,1.0,1.0,8.0,10.0,2.0,2.0,6.0,4.0,8.0,7.0,1.0,3.0,3.0,"5.0, female, 21.0, European/Caucasian-American, 10.0, 7.0, psychology, 20.0, 10.0, 30.0, 20.0, 15.0, 5.0, 8.0, 7.0, 8.0, 9.0, 8.0, 2.0, 3.0, 2.0, 8.0, 7.0, 3.0, 1.0, 1.0, 8.0, 10.0, 2.0, 2.0, 6.0, 4.0, 8.0, 7.0, 1.0, 3.0, 3.0"
1696,5.0,female,21.0,European/Caucasian-American,4.0,1.0,political science,15.0,15.0,25.0,25.0,20.0,0.0,8.0,9.0,8.0,9.0,9.0,5.0,10.0,4.0,3.0,10.0,10.0,6.0,4.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,7.0,4.0,"5.0, female, 21.0, European/Caucasian-American, 4.0, 1.0, political science, 15.0, 15.0, 25.0, 25.0, 20.0, 0.0, 8.0, 9.0, 8.0, 9.0, 9.0, 5.0, 10.0, 4.0, 3.0, 10.0, 10.0, 6.0, 4.0, 8.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 8.0, 7.0, 4.0"
1706,5.0,female,21.0,European/Caucasian-American,8.0,10.0,Economics; Sociology,20.0,10.0,20.0,20.0,20.0,10.0,8.0,7.0,8.0,8.0,8.0,6.0,8.0,8.0,6.0,9.0,6.0,3.0,5.0,8.0,8.0,5.0,6.0,5.0,6.0,9.0,5.0,3.0,6.0,1.0,"5.0, female, 21.0, European/Caucasian-American, 8.0, 10.0, Economics; Sociology, 20.0, 10.0, 20.0, 20.0, 20.0, 10.0, 8.0, 7.0, 8.0, 8.0, 8.0, 6.0, 8.0, 8.0, 6.0, 9.0, 6.0, 3.0, 5.0, 8.0, 8.0, 5.0, 6.0, 5.0, 6.0, 9.0, 5.0, 3.0, 6.0, 1.0"
1716,5.0,female,19.0,Latino/Hispanic American,5.0,2.0,Polish,50.0,15.0,10.0,10.0,10.0,5.0,8.0,10.0,10.0,10.0,10.0,8.0,9.0,5.0,8.0,9.0,9.0,5.0,8.0,10.0,9.0,5.0,10.0,9.0,10.0,7.0,10.0,8.0,4.0,5.0,"5.0, female, 19.0, Latino/Hispanic American, 5.0, 2.0, Polish, 50.0, 15.0, 10.0, 10.0, 10.0, 5.0, 8.0, 10.0, 10.0, 10.0, 10.0, 8.0, 9.0, 5.0, 8.0, 9.0, 9.0, 5.0, 8.0, 10.0, 9.0, 5.0, 10.0, 9.0, 10.0, 7.0, 10.0, 8.0, 4.0, 5.0"
1726,5.0,female,20.0,Latino/Hispanic American,1.0,4.0,English,10.0,10.0,35.0,35.0,8.0,2.0,6.0,8.0,8.0,8.0,9.0,5.0,7.0,4.0,4.0,8.0,5.0,3.0,1.0,5.0,10.0,6.0,10.0,9.0,6.0,3.0,8.0,5.0,3.0,2.0,"5.0, female, 20.0, Latino/Hispanic American, 1.0, 4.0, English, 10.0, 10.0, 35.0, 35.0, 8.0, 2.0, 6.0, 8.0, 8.0, 8.0, 9.0, 5.0, 7.0, 4.0, 4.0, 8.0, 5.0, 3.0, 1.0, 5.0, 10.0, 6.0, 10.0, 9.0, 6.0, 3.0, 8.0, 5.0, 3.0, 2.0"
1736,5.0,female,21.0,European/Caucasian-American,8.0,1.0,psychology and english,35.0,15.0,5.0,30.0,15.0,0.0,2.0,9.0,9.0,7.0,9.0,2.0,6.0,2.0,6.0,10.0,10.0,6.0,4.0,7.0,7.0,8.0,10.0,10.0,10.0,10.0,10.0,4.0,2.0,2.0,"5.0, female, 21.0, European/Caucasian-American, 8.0, 1.0, psychology and english, 35.0, 15.0, 5.0, 30.0, 15.0, 0.0, 2.0, 9.0, 9.0, 7.0, 9.0, 2.0, 6.0, 2.0, 6.0, 10.0, 10.0, 6.0, 4.0, 7.0, 7.0, 8.0, 10.0, 10.0, 10.0, 10.0, 10.0, 4.0, 2.0, 2.0"
1746,5.0,male,22.0,Other,1.0,1.0,Law,40.0,15.0,10.0,20.0,5.0,10.0,7.0,10.0,8.0,8.0,8.0,7.0,7.0,9.0,7.0,9.0,6.0,5.0,6.0,6.0,6.0,8.0,7.0,8.0,8.0,5.0,8.0,4.0,6.0,4.0,"5.0, male, 22.0, Other, 1.0, 1.0, Law, 40.0, 15.0, 10.0, 20.0, 5.0, 10.0, 7.0, 10.0, 8.0, 8.0, 8.0, 7.0, 7.0, 9.0, 7.0, 9.0, 6.0, 5.0, 6.0, 6.0, 6.0, 8.0, 7.0, 8.0, 8.0, 5.0, 8.0, 4.0, 6.0, 4.0"
1756,5.0,male,18.0,Asian/Pacific Islander/Asian-American,3.0,5.0,Biomedical Engineering,50.0,10.0,20.0,5.0,5.0,10.0,8.0,7.0,7.0,7.0,8.0,9.0,3.0,9.0,8.0,8.0,2.0,5.0,5.0,6.0,2.0,7.0,2.0,7.0,7.0,7.0,7.0,5.0,5.0,0.0,"5.0, male, 18.0, Asian/Pacific Islander/Asian-American, 3.0, 5.0, Biomedical Engineering, 50.0, 10.0, 20.0, 5.0, 5.0, 10.0, 8.0, 7.0, 7.0, 7.0, 8.0, 9.0, 3.0, 9.0, 8.0, 8.0, 2.0, 5.0, 5.0, 6.0, 2.0, 7.0, 2.0, 7.0, 7.0, 7.0, 7.0, 5.0, 5.0, 0.0"
1766,5.0,male,22.0,Asian/Pacific Islander/Asian-American,1.0,1.0,Economics and Political Science,40.0,10.0,10.0,10.0,10.0,20.0,8.0,8.0,10.0,10.0,10.0,5.0,8.0,5.0,8.0,10.0,8.0,6.0,5.0,8.0,8.0,6.0,9.0,9.0,9.0,8.0,8.0,7.0,6.0,6.0,"5.0, male, 22.0, Asian/Pacific Islander/Asian-American, 1.0, 1.0, Economics and Political Science, 40.0, 10.0, 10.0, 10.0, 10.0, 20.0, 8.0, 8.0, 10.0, 10.0, 10.0, 5.0, 8.0, 5.0, 8.0, 10.0, 8.0, 6.0, 5.0, 8.0, 8.0, 6.0, 9.0, 9.0, 9.0, 8.0, 8.0, 7.0, 6.0, 6.0"
1776,5.0,male,21.0,European/Caucasian-American,3.0,1.0,Art History/medicine,20.0,15.0,20.0,15.0,12.0,18.0,9.0,6.0,10.0,9.0,10.0,3.0,9.0,1.0,9.0,10.0,10.0,1.0,1.0,10.0,9.0,2.0,9.0,9.0,9.0,10.0,9.0,7.0,6.0,6.0,"5.0, male, 21.0, European/Caucasian-American, 3.0, 1.0, Art History/medicine, 20.0, 15.0, 20.0, 15.0, 12.0, 18.0, 9.0, 6.0, 10.0, 9.0, 10.0, 3.0, 9.0, 1.0, 9.0, 10.0, 10.0, 1.0, 1.0, 10.0, 9.0, 2.0, 9.0, 9.0, 9.0, 10.0, 9.0, 7.0, 6.0, 6.0"
1786,5.0,male,22.0,European/Caucasian-American,7.0,5.0,philosophy,25.0,40.0,15.0,10.0,5.0,5.0,9.0,10.0,9.0,9.0,9.0,10.0,8.0,8.0,7.0,8.0,7.0,5.0,2.0,7.0,10.0,5.0,8.0,8.0,9.0,6.0,10.0,7.0,6.0,1.0,"5.0, male, 22.0, European/Caucasian-American, 7.0, 5.0, philosophy, 25.0, 40.0, 15.0, 10.0, 5.0, 5.0, 9.0, 10.0, 9.0, 9.0, 9.0, 10.0, 8.0, 8.0, 7.0, 8.0, 7.0, 5.0, 2.0, 7.0, 10.0, 5.0, 8.0, 8.0, 9.0, 6.0, 10.0, 7.0, 6.0, 1.0"
1796,5.0,male,22.0,European/Caucasian-American,1.0,1.0,Mechanical Engineering,25.0,25.0,25.0,15.0,5.0,5.0,8.0,8.0,9.0,9.0,8.0,10.0,5.0,8.0,8.0,8.0,3.0,5.0,5.0,6.0,1.0,7.0,1.0,5.0,8.0,5.0,7.0,10.0,1.0,7.0,"5.0, male, 22.0, European/Caucasian-American, 1.0, 1.0, Mechanical Engineering, 25.0, 25.0, 25.0, 15.0, 5.0, 5.0, 8.0, 8.0, 9.0, 9.0, 8.0, 10.0, 5.0, 8.0, 8.0, 8.0, 3.0, 5.0, 5.0, 6.0, 1.0, 7.0, 1.0, 5.0, 8.0, 5.0, 7.0, 10.0, 1.0, 7.0"
1806,5.0,male,21.0,European/Caucasian-American,3.0,1.0,Engineering,40.0,15.0,10.0,20.0,10.0,5.0,8.0,7.0,7.0,8.0,7.0,8.0,4.0,7.0,7.0,6.0,4.0,8.0,7.0,3.0,5.0,3.0,4.0,8.0,10.0,2.0,10.0,2.0,5.0,7.0,"5.0, male, 21.0, European/Caucasian-American, 3.0, 1.0, Engineering, 40.0, 15.0, 10.0, 20.0, 10.0, 5.0, 8.0, 7.0, 7.0, 8.0, 7.0, 8.0, 4.0, 7.0, 7.0, 6.0, 4.0, 8.0, 7.0, 3.0, 5.0, 3.0, 4.0, 8.0, 10.0, 2.0, 10.0, 2.0, 5.0, 7.0"
1826,5.0,male,20.0,Asian/Pacific Islander/Asian-American,4.0,1.0,Engineering,80.0,10.0,10.0,0.0,0.0,0.0,5.0,6.0,6.0,6.0,6.0,7.0,3.0,4.0,9.0,8.0,2.0,7.0,5.0,7.0,6.0,2.0,1.0,2.0,2.0,6.0,9.0,2.0,6.0,2.0,"5.0, male, 20.0, Asian/Pacific Islander/Asian-American, 4.0, 1.0, Engineering, 80.0, 10.0, 10.0, 0.0, 0.0, 0.0, 5.0, 6.0, 6.0, 6.0, 6.0, 7.0, 3.0, 4.0, 9.0, 8.0, 2.0, 7.0, 5.0, 7.0, 6.0, 2.0, 1.0, 2.0, 2.0, 6.0, 9.0, 2.0, 6.0, 2.0"
